Period,Company,Model,Marketing End,Rate of coverage of model,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Marketing_share,Marketing_retail,Price
15,Digi,2,400,66.0,30.0,30.0,30.0,20.0,10.0,4.0,1.0,0.0,6.0,2.0,1.0,8.0,3,800.0,3600
15,Profit,2,800,67.0,20.0,10.0,20.0,10.0,20.0,19.0,20.0,19.0,17.0,19.0,20.0,14.0,17,800.0,2283
15,Primus,2,500,70.0,20.0,10.0,30.0,20.0,10.0,25.0,34.0,31.0,23.0,33.0,33.0,19.0,13,800.0,
15,Best,2,800,64.0,20.0,10.0,20.0,10.0,10.0,16.0,20.0,20.0,13.0,18.0,19.0,10.0,16,800.0,2 249
15,Mikro,2,1000,68.0,30.0,30.0,30.0,30.0,30.0,9.0,3.0,1.0,13.0,5.0,2.0,17.0,7,800.0,3500
13,Digi,2,300,71.0,30.0,30.0,30.0,20.0,10.0,4.0,1.0,0.0,6.0,2.0,1.0,8.0,4,600.0,3600
13,Profit,2,658,64.0,20.0,10.0,20.0,10.0,20.0,23.0,20.0,14.0,21.0,22.0,17.0,18.0,19,658.0,2294
13,Primus,2,500,56.0,20.0,10.0,30.0,10.0,10.0,10.0,9.0,5.0,10.0,10.0,6.0,9.0,9,600.0,
13,Best,2,500,59.0,20.0,10.0,20.0,10.0,10.0,14.0,14.0,10.0,13.0,15.0,12.0,11.0,12,600.0,2 300
13,Mikro,2,600,66.0,30.0,30.0,30.0,30.0,30.0,2.0,0.0,0.0,3.0,1.0,0.0,5.0,2,700.0,4 000
14,Digi,2,400,68.0,30.0,30.0,30.0,20.0,10.0,5.0,1.0,0.0,7.0,3.0,1.0,9.0,4,800.0,3500
14,Profit,2,658,61.0,20.0,10.0,20.0,10.0,20.0,16.0,13.0,9.0,15.0,15.0,12.0,14.0,10,658.0,2 399
14,Primus,2,800,69.0,20.0,10.0,30.0,20.0,10.0,26.0,31.0,23.0,24.0,31.0,26.0,19.0,17,1200.0,
14,Best,2,800,64.0,20.0,10.0,20.0,10.0,10.0,15.0,16.0,13.0,13.0,16.0,14.0,11.0,14,800.0,2 268
14,Mikro,2,1000,68.0,30.0,30.0,30.0,30.0,30.0,4.0,1.0,0.0,6.0,2.0,0.0,9.0,3,900.0,3750
18,Digi,2,400,67.0,26.0,26.0,26.0,18.0,18.0,4.0,1.0,0.0,5.0,2.0,1.0,7.0,2,700.0,3290
18,Profit,2,500,62.0,18.0,9.0,18.0,9.0,18.0,11.0,13.0,14.0,9.0,12.0,14.0,8.0,4,500.0,2180
